    1.0300     0.5265     0.8113    -0.8321     0.4311
    1.0400     0.5181     0.8156    -0.8371     0.4217
    1.0500     0.5097     0.8197    -0.8420     0.4122
    1.0600     0.5013     0.8238    -0.8467     0.4026
    1.0700     0.4928     0.8278    -0.8514     0.3930
    1.0800     0.4842     0.8317    -0.8561     0.3833
    1.0900     0.4757     0.8355    -0.8606     0.3736
    1.1000     0.4670     0.8391    -0.8651     0.3637
    1.1100     0.4584     0.8427    -0.8694     0.3539
    1.1200     0.4496     0.8462    -0.8737     0.3439
    1.1300     0.4409     0.8496    -0.8779     0.3339
    1.1400     0.4321     0.8529    -0.8820     0.3239
    1.1500     0.4233     0.8561    -0.8860     0.3138
    1.1600     0.4144     0.8592    -0.8900     0.3036
    1.1700     0.4055     0.8622    -0.8938     0.2934
    1.1800     0.3965     0.8650    -0.8975     0.2831
    1.1900     0.3875     0.8678    -0.9012     0.2727
    1.2000     0.3785     0.8705    -0.9048     0.2623
    1.2100     0.3694     0.8731    -0.9083     0.2518
    1.2200     0.3603     0.8755    -0.9116     0.2413
    1.2300     0.3512     0.8779    -0.9149     0.2307
    1.2400     0.3420     0.8801    -0.9181     0.2200
    1.2500     0.3328     0.8823    -0.9212     0.2093
    1.2600     0.3236     0.8843    -0.9242     0.1986
    1.2700     0.3143     0.8863    -0.9271     0.1877
    1.2800     0.3050     0.8881    -0.9299     0.1769
    1.2900     0.2957     0.8898    -0.9326     0.1659
    1.3000     0.2864     0.8914    -0.9352     0.1549
    1.3100     0.2770     0.8929    -0.9377     0.1439
    1.3200     0.2676     0.8943    -0.9401     0.1328
    1.3300     0.2582     0.8955    -0.9424     0.1216
    1.3400     0.2488     0.8967    -0.9446     0.1104
    1.3500     0.2393     0.8978    -0.9467     0.0991
    1.3600     0.2299     0.8987    -0.9487     0.0878
    1.3700     0.2204     0.8995    -0.9506     0.0764
    1.3800     0.2108     0.9002    -0.9524     0.0650
    1.3900     0.2013     0.9008    -0.9540     0.0535
    1.4000     0.1918     0.9013    -0.9556     0.0420
    1.4100     0.1822     0.9017    -0.9570     0.0304
    1.4200     0.1726     0.9019    -0.9583     0.0187
    1.4300     0.1630     0.9020    -0.9596     0.0070
    1.4400     0.1534     0.9020    -0.9607    -0.0047
    1.4500     0.1438     0.9019    -0.9616    -0.0165
    1.4600     0.1342     0.9017    -0.9625    -0.0284
    1.4700     0.1246     0.9014    -0.9633    -0.0403
    1.4800     0.1149     0.9009    -0.9639    -0.0522
    1.4900     0.1053     0.9003    -0.9644    -0.0642
    1.5000     0.0956     0.8996    -0.9648    -0.0763
    1.5100     0.0860     0.8988    -0.9651    -0.0884
    1.5200     0.0763     0.8978    -0.9652    -0.1006
    1.5300     0.0667     0.8968    -0.9652    -0.1128
    1.5400     0.0570     0.8956    -0.9651    -0.1250
    1.5500     0.0474     0.8943    -0.9649    -0.1373
    1.5600     0.0377     0.8928    -0.9645    -0.1496
    1.5700     0.0281     0.8913    -0.9640    -0.1620
    1.5800     0.0185     0.8896    -0.9634    -0.1745
    1.5900     0.0088     0.8878    -0.9626    -0.1870
    1.6000    -0.0008     0.8859    -0.9617    -0.1995
    1.6100    -0.0104     0.8838    -0.9606    -0.2121
    1.6200    -0.0200     0.8816    -0.9595    -0.2247
    1.6300    -0.0296     0.8793    -0.9581    -0.2373
    1.6400    -0.0392     0.8769    -0.9567    -0.2500
    1.6500    -0.0487     0.8743    -0.9551    -0.2628
    1.6600    -0.0583     0.8716    -0.9533    -0.2756
    1.6700    -0.0678     0.8688    -0.9514    -0.2884
    1.6800    -0.0773     0.8659    -0.9494    -0.3012
    1.6900    -0.0868     0.8628    -0.9472    -0.3142
    1.7000    -0.0962     0.8596    -0.9448    -0.3271
    1.7100    -0.1057     0.8562    -0.9423    -0.3401
    1.7200    -0.1151     0.8528    -0.9396    -0.3531
    1.7300    -0.1245     0.8492    -0.9368    -0.3661
    1.7400    -0.1338     0.8454    -0.9338    -0.3792
    1.7500    -0.1431     0.8416    -0.9307    -0.3924
