0.0709785	7457.79	0.292229	2221.62	4.05869
0.071618	7459.22	0.294824	2240.77	4.05714
0.0722574	7460.66	0.297418	2259.91	4.05557
0.0728969	7462.11	0.30001	2279.01	4.054
0.0735363	7463.57	0.302602	2298.1	4.05241
0.0741758	7465.05	0.305193	2317.16	4.05081
0.0748152	7466.54	0.307783	2336.21	4.04919
0.0754546	7468.04	0.310371	2355.22	4.04757
0.0760941	7469.55	0.312959	2374.22	4.04593
0.0767335	7471.07	0.315546	2393.19	4.04428
0.077373	7472.61	0.318131	2412.13	4.04261
0.0780124	7474.16	0.320716	2431.06	4.04094
0.0786519	7475.72	0.323299	2449.95	4.03925
0.0792913	7477.29	0.325882	2468.83	4.03755
0.0799308	7478.88	0.328463	2487.68	4.03584
0.0805702	7480.47	0.331043	2506.5	4.03412
0.0812097	7482.08	0.333622	2525.3	4.03238
0.0818491	7483.7	0.3362	2544.08	4.03064
0.0824886	7485.33	0.338777	2562.83	4.02888
0.083128	7486.98	0.341352	2581.55	4.02711
0.0837674	7488.64	0.343927	2600.25	4.02533
0.0844069	7490.3	0.3465	2618.93	4.02353
0.0850463	7491.99	0.349073	2637.58	4.02173
0.0856858	7493.68	0.351644	2656.2	4.01991
0.0863252	7495.38	0.354214	2674.8	4.01808
0.0869647	7497.1	0.356782	2693.37	4.01625
0.0876041	7498.83	0.35935	2711.91	4.01439
0.0882436	7500.57	0.361916	2730.43	4.01253
0.088883	7502.32	0.364482	2748.92	4.01066
0.0895225	7504.08	0.367046	2767.39	4.00877
0.0901619	7505.86	0.369608	2785.82	4.00688
0.0908014	7507.65	0.37217	2804.23	4.00497
0.0914408	7509.44	0.37473	2822.62	4.00305
0.0920802	7511.26	0.377289	2840.97	4.00112
0.0927197	7513.08	0.379847	2859.3	3.99918
0.0933591	7514.91	0.382404	2877.6	3.99723
0.0939986	7516.76	0.384959	2895.88	3.99526
0.094638	7518.62	0.387513	2914.12	3.99329
0.0952775	7520.48	0.390066	2932.34	3.99131
0.0959169	7522.37	0.392618	2950.53	3.98931
0.0965564	7524.26	0.395168	2968.69	3.9873
0.0971958	7526.16	0.397717	2986.82	3.98529
0.0978353	7528.08	0.400265	3004.93	3.98326
0.0984747	7530.01	0.402811	3023	3.98122
0.0991142	7531.94	0.405357	3041.05	3.97917
0.0997536	7533.89	0.4079	3059.07	3.97711
