0.01 1.10294
0.02 1.06216
0.03 1.04973
0.04 1.07174
0.05 1.09055
0.06 1.07276
0.07 1.03184
0.08 1.01093
0.09 1.02782
0.1 1.05229
0.11 1.04462
0.12 1.00625
0.13 0.977963
0.14 0.987851
0.15 1.0155
0.16 1.01803
0.17 0.98477
0.18 0.950869
0.19 0.952478
0.2 0.980639
0.21 0.992713
0.22 0.966756
0.23 0.929507
0.24 0.922286
0.25 0.9483
0.26 0.968558
0.27 0.951589
0.28 0.913584
0.29 0.897745
0.3 0.919191
0.31 0.94568
0.32 0.938725
0.33 0.902679
0.34 0.879183
0.35 0.894064
0.36 0.924399
0.37 0.927749
0.38 0.896282
0.39 0.866764
0.4 0.87367
0.41 0.905223
0.42 0.918413
0.43 0.893848
0.44 0.860487
0.45 0.858709
0.46 0.888822
0.47 0.910669
0.48 0.894845
0.49 0.860196
0.5 0.849786
0.51 0.875984
0.52 0.904688
0.53 0.898818
0.54 0.865607
0.55 0.847377
0.56 0.86757
0.57 0.900854
0.58 0.905432
0.59 0.876347
0.6 0.851806
0.61 0.864458
0.62 0.89976
0.63 0.914525
0.64 0.892003
0.65 0.863241
0.66 0.867497
0.67 0.902174
0.68 0.926137
0.69 0.912175
0.7 0.881705
0.71 0.877463
0.72 0.909008
0.73 0.940533
0.74 0.936535
0.75 0.907093
0.76 0.895021
0.77 0.921268
0.78 0.958211
0.79 0.964881
0.8 0.939219
0.81 0.920703
0.82 0.940009
0.83 0.979892
0.84 0.997187
0.85 0.977857
0.86 0.954903
0.87 0.96628
0.88 1.0065
0.89 1.03364
0.9 1.0228
0.91 0.997877
0.92 1.00108
0.93 1.03913
0.94 1.07466
0.95 1.07392
0.96 1.04977
0.97 1.04535
0.98 1.079
0.99 1.12094
1 1.13121
