  0.000000   1.000000        0.0                    0.5
  0.031416   1.001248  0.0794581               0.504406
  0.062832   1.002838   0.021731               0.503078
  0.094248   1.003849  0.0426173               0.504765
  0.125664   1.004789  0.0171692               0.504948
  0.157080   1.004159 -0.0572583               0.505807
  0.188496   1.003338 0.00498992               0.503356
  0.219911   1.001179  -0.142404               0.511319
  0.251327   0.996959  -0.126157               0.504921
  0.282743   0.993393  -0.100803               0.498496
  0.314159   0.992499  0.0439058               0.493491
  0.345575   0.994583  0.0887471               0.498536
  0.376991   0.995120 -0.0545769               0.496621
  0.408407   0.994476  0.0135812               0.494584
  0.439823   0.993933 -0.0481731               0.495111
  0.471239   0.992034 -0.0726895               0.494707
  0.502655   0.991668  0.0494187               0.492924
  0.534071   0.989385  -0.194703               0.508396
  0.565487   0.981629  -0.298979               0.526492
  0.596903   0.972084  -0.308489               0.520057
  0.628319   0.961660  -0.355009                0.52541
  0.659734   0.950211  -0.373675               0.521267
  0.691150   0.935938  -0.534712               0.580949
  0.722566   0.918217  -0.593184               0.597495
  0.753982   0.898363  -0.670496                0.62831
  0.785398   0.876272  -0.735511               0.654414
  0.816814   0.852653  -0.767757               0.658234
  0.848230   0.830507   -0.64178               0.550811
  0.879646   0.808446  -0.762293               0.617338
  0.911062   0.785458  -0.700858               0.554073
  0.942478   0.765006  -0.600816               0.473107
  0.973894   0.746726  -0.562665               0.437096
  1.005310   0.728052  -0.625857               0.460878
  1.036726   0.709015  -0.585796                0.42293
  1.068142   0.689718  -0.642414               0.444203
  1.099557   0.670443  -0.584347               0.395478
  1.130973   0.651299  -0.634147               0.413166
  1.162389   0.629963  -0.723825               0.460388
  1.193805   0.606350  -0.779025                0.48727
  1.225221   0.581158  -0.824356               0.508654
  1.256637   0.558240  -0.634307               0.356989
  1.288053   0.535058  -0.841187               0.496941
  1.319469   0.510724  -0.707599               0.380768
  1.350885   0.489997  -0.611554               0.307048
  1.382301   0.470962  -0.599955               0.290876
